batch_size;epochs;accuracy;val_accuracy
32;100;0.28180355, 0.46606857, 0.57004833, 0.6250287, 0.6551645, 0.6876007, 0.70968485, 0.72279733, 0.7462618, 0.76236486, 0.76742584, 0.77984816, 0.7975615, 0.77662754, 0.794801, 0.8074534, 0.82033587, 0.82148606, 0.82447666, 0.83321834, 0.82976764, 0.8318381, 0.83275825, 0.8403497, 0.8403497, 0.84863126, 0.8553025, 0.8596733, 0.8479411, 0.852772, 0.863124, 0.8672648, 0.86128366, 0.8605935, 0.86496437, 0.8642742, 0.8730159, 0.8711755, 0.87071544, 0.87807685, 0.8760064, 0.87876695, 0.8716356, 0.87508625, 0.88336784, 0.8898091, 0.8732459, 0.889579, 0.884058, 0.89187944, 0.8957902, 0.89556015, 0.89095926, 0.8886588, 0.8925696, 0.8962503, 0.89187944, 0.89510006, 0.9031516, 0.89878076, 0.89440995, 0.89901084, 0.9056821, 0.89924085, 0.9100529, 0.9047619, 0.90292156, 0.8994709, 0.90821254, 0.9047619, 0.90246147, 0.9089027, 0.9059121, 0.91166323, 0.91143316, 0.91442376, 0.9162641, 0.9130435, 0.9049919, 0.91074306, 0.9128134, 0.9194847, 0.91143316, 0.9171843, 0.9089027, 0.91557395, 0.9174143, 0.91120315, 0.91511387, 0.9141937, 0.91028297, 0.9215551, 0.9215551, 0.9091327, 0.92017484, 0.92086494, 0.9231654, 0.9259259, 0.9284564, 0.92408556;0.5036764740943909, 0.6369485259056091, 0.6875, 0.7095588445663452, 0.7306985259056091, 0.7472426295280457, 0.767463207244873, 0.7610294222831726, 0.7757353186607361, 0.78125, 0.7886029481887817, 0.7913603186607361, 0.7977941036224365, 0.795036792755127, 0.8051470518112183, 0.8272058963775635, 0.814338207244873, 0.8216911554336548, 0.8207720518112183, 0.8308823704719543, 0.8290441036224365, 0.8345588445663452, 0.8492646813392639, 0.845588207244873, 0.8474264740943909, 0.8465073704719543, 0.8529411554336548, 0.8501838445663452, 0.8547794222831726, 0.84375, 0.8556985259056091, 0.8492646813392639, 0.8520220518112183, 0.8566176295280457, 0.8639705777168274, 0.8556985259056091, 0.8713235259056091, 0.8694853186607361, 0.8648896813392639, 0.8658088445663452, 0.8676470518112183, 0.8759191036224365, 0.857536792755127, 0.861213207244873, 0.8648896813392639, 0.8630514740943909, 0.8841911554336548, 0.8777573704719543, 0.8648896813392639, 0.8795955777168274, 0.876838207244873, 0.876838207244873, 0.8814338445663452, 0.8841911554336548, 0.8814338445663452, 0.875, 0.8722426295280457, 0.876838207244873, 0.8841911554336548, 0.8943014740943909, 0.8878676295280457, 0.8897058963775635, 0.8786764740943909, 0.8795955777168274, 0.888786792755127, 0.8832720518112183, 0.892463207244873, 0.8933823704719543, 0.890625, 0.8897058963775635, 0.892463207244873, 0.8952205777168274, 0.8943014740943909, 0.8841911554336548, 0.8841911554336548, 0.890625, 0.8998161554336548, 0.8915441036224365, 0.8823529481887817, 0.892463207244873, 0.890625, 0.8952205777168274, 0.8943014740943909, 0.8841911554336548, 0.8979779481887817, 0.8943014740943909, 0.8878676295280457, 0.890625, 0.8832720518112183, 0.8915441036224365, 0.8943014740943909, 0.9025735259056091, 0.8933823704719543, 0.8933823704719543, 0.892463207244873, 0.8970588445663452, 0.9016544222831726, 0.9053308963775635, 0.9007353186607361, 0.8970588445663452
64;100;0.2431562, 0.43248218, 0.5226593, 0.59052217, 0.6376812, 0.6659765, 0.67770875, 0.7089947, 0.7361399, 0.73130894, 0.7485622, 0.76351506, 0.7704164, 0.78283876, 0.78858984, 0.7989418, 0.80906373, 0.8074534, 0.8074534, 0.82079595, 0.8247067, 0.826547, 0.82930756, 0.831378, 0.8362089, 0.8442604, 0.8451806, 0.8509317, 0.8513918, 0.8608236, 0.8642742, 0.8562227, 0.86588454, 0.85461235, 0.8548424, 0.8688751, 0.8732459, 0.87048537, 0.8753163, 0.8727858, 0.8766966, 0.88612837, 0.88750863, 0.889349, 0.889579, 0.8925696, 0.8886588, 0.8983207, 0.89533013, 0.88704854, 0.89510006, 0.89602023, 0.89487004, 0.8957902, 0.8967104, 0.9003911, 0.9020014, 0.9010812, 0.90453184, 0.8957902, 0.90729237, 0.9091327, 0.9093628, 0.90706235, 0.9089027, 0.9089027, 0.91649413, 0.9190246, 0.9137336, 0.91189325, 0.90338165, 0.9141937, 0.9130435, 0.9146538, 0.921095, 0.90752244, 0.926386, 0.921325, 0.9217851, 0.92431563, 0.91971475, 0.91603404, 0.91994476, 0.9187946, 0.92707616, 0.92454565, 0.92408556, 0.92339545, 0.9220152, 0.92868644, 0.9298367, 0.92822635, 0.9247757, 0.92753625, 0.926156, 0.92868644, 0.9231654, 0.93190706, 0.9300667, 0.92868644;0.5404411554336548, 0.6158088445663452, 0.6764705777168274, 0.7095588445663452, 0.7352941036224365, 0.7408088445663452, 0.7509191036224365, 0.765625, 0.7840073704719543, 0.7711396813392639, 0.7876838445663452, 0.78125, 0.7840073704719543, 0.7931985259056091, 0.78125, 0.8125, 0.810661792755127, 0.8069853186607361, 0.8079044222831726, 0.8253676295280457, 0.814338207244873, 0.8235294222831726, 0.8189338445663452, 0.8308823704719543, 0.8272058963775635, 0.8336396813392639, 0.8409926295280457, 0.8391544222831726, 0.841911792755127, 0.8465073704719543, 0.8400735259056091, 0.8465073704719543, 0.841911792755127, 0.8492646813392639, 0.8520220518112183, 0.8492646813392639, 0.8556985259056091, 0.8630514740943909, 0.8529411554336548, 0.861213207244873, 0.8621323704719543, 0.8658088445663452, 0.875, 0.8639705777168274, 0.8713235259056091, 0.8722426295280457, 0.875, 0.8713235259056091, 0.875, 0.8713235259056091, 0.8676470518112183, 0.8685661554336548, 0.8722426295280457, 0.8759191036224365, 0.8795955777168274, 0.8805146813392639, 0.8795955777168274, 0.8878676295280457, 0.876838207244873, 0.8805146813392639, 0.8832720518112183, 0.8860294222831726, 0.8823529481887817, 0.8786764740943909, 0.876838207244873, 0.890625, 0.8851103186607361, 0.8988970518112183, 0.8915441036224365, 0.8897058963775635, 0.8933823704719543, 0.8979779481887817, 0.8970588445663452, 0.8988970518112183, 0.8851103186607361, 0.892463207244873, 0.8786764740943909, 0.9025735259056091, 0.890625, 0.8823529481887817, 0.8897058963775635, 0.888786792755127, 0.8878676295280457, 0.8970588445663452, 0.8943014740943909, 0.8823529481887817, 0.8961396813392639, 0.8915441036224365, 0.8998161554336548, 0.8943014740943909, 0.8952205777168274, 0.8851103186607361, 0.8897058963775635, 0.8878676295280457, 0.908088207244873, 0.8869485259056091, 0.9145220518112183, 0.8988970518112183, 0.8952205777168274, 0.9108455777168274
128;100;0.21440074, 0.34759605, 0.42926157, 0.50839657, 0.55716586, 0.6013343, 0.6333103, 0.65769494, 0.67126757, 0.70186335, 0.7124454, 0.7198068, 0.7310789, 0.74281114, 0.7568438, 0.7619048, 0.7752473, 0.77616745, 0.78951, 0.78974, 0.79710144, 0.7982517, 0.8136646, 0.8102139, 0.8182655, 0.81642514, 0.82815737, 0.8267771, 0.84219, 0.8451806, 0.83712906, 0.8401196, 0.8431102, 0.85231197, 0.85231197, 0.8564527, 0.8536922, 0.86542445, 0.86588454, 0.85852313, 0.86496437, 0.87094545, 0.8762365, 0.868415, 0.8757764, 0.87807685, 0.8799172, 0.8762365, 0.8803773, 0.8819876, 0.8888889, 0.8925696, 0.8891189, 0.89440995, 0.89187944, 0.89026916, 0.89463997, 0.8921095, 0.8962503, 0.89556015, 0.90384173, 0.89463997, 0.89901084, 0.900161, 0.90660226, 0.905452, 0.91028297, 0.9059121, 0.90660226, 0.9061422, 0.90752244, 0.9098229, 0.9089027, 0.91120315, 0.9130435, 0.91442376, 0.91511387, 0.9183345, 0.91649413, 0.9183345, 0.9162641, 0.91488385, 0.9162641, 0.92339545, 0.91925466, 0.92040485, 0.9222452, 0.9206349, 0.9273062, 0.9256959, 0.92454565, 0.92385554, 0.9227053, 0.9224753, 0.9300667, 0.92500573, 0.9247757, 0.9259259, 0.93190706, 0.9254658;0.49816176295280457, 0.5625, 0.6204044222831726, 0.640625, 0.658088207244873, 0.6994485259056091, 0.7095588445663452, 0.748161792755127, 0.7490808963775635, 0.7619485259056091, 0.7803308963775635, 0.7766544222831726, 0.7803308963775635, 0.7959558963775635, 0.7867646813392639, 0.8005514740943909, 0.7996323704719543, 0.8125, 0.8079044222831726, 0.8097426295280457, 0.8088235259056091, 0.8042279481887817, 0.8088235259056091, 0.810661792755127, 0.8226103186607361, 0.8272058963775635, 0.8161764740943909, 0.8318014740943909, 0.8308823704719543, 0.8318014740943909, 0.8345588445663452, 0.8272058963775635, 0.841911792755127, 0.8354779481887817, 0.8446691036224365, 0.8428308963775635, 0.8373161554336548, 0.8529411554336548, 0.84375, 0.8538603186607361, 0.8483455777168274, 0.8520220518112183, 0.8538603186607361, 0.8538603186607361, 0.8511029481887817, 0.8547794222831726, 0.8474264740943909, 0.8547794222831726, 0.8566176295280457, 0.8621323704719543, 0.8630514740943909, 0.8621323704719543, 0.8630514740943909, 0.8648896813392639, 0.8630514740943909, 0.8648896813392639, 0.8630514740943909, 0.8676470518112183, 0.8704044222831726, 0.8676470518112183, 0.8722426295280457, 0.8694853186607361, 0.8722426295280457, 0.876838207244873, 0.8685661554336548, 0.8740808963775635, 0.8740808963775635, 0.876838207244873, 0.873161792755127, 0.8814338445663452, 0.8832720518112183, 0.8869485259056091, 0.8795955777168274, 0.8832720518112183, 0.8860294222831726, 0.8915441036224365, 0.8832720518112183, 0.8795955777168274, 0.8841911554336548, 0.8795955777168274, 0.888786792755127, 0.8832720518112183, 0.8869485259056091, 0.8841911554336548, 0.8860294222831726, 0.8795955777168274, 0.890625, 0.892463207244873, 0.892463207244873, 0.8943014740943909, 0.8795955777168274, 0.8860294222831726, 0.8915441036224365, 0.8897058963775635, 0.8851103186607361, 0.8860294222831726, 0.8851103186607361, 0.8897058963775635, 0.8961396813392639, 0.8823529481887817
